Entity,Code,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression,Alcohol use disorders (%)
France,FRA,2017,0.256237905,0.958198978,0.573755287,6.626710211,1.179268316,4.253807263,1.418957891
Switzerland,CHE,2017,0.262486902,0.953995907,0.573968695,5.359393141,1.006218115,3.708059737,1.379690302
Greece,GRC,2017,0.252700836,0.948926107,0.55932357,5.790227945,0.552601555,4.185863699,1.124256965
Netherlands,NLD,2017,0.358487188,0.947300268,0.467844099,6.620242194,0.988877229,4.026854403,0.776602485
Belgium,BEL,2017,0.258072603,0.94715885,0.603868896,5.212644644,0.823451382,4.109186155,1.46563857
Italy,ITA,2017,0.236197452,0.946257131,0.626783643,5.626121065,1.148015082,3.464256117,0.462936855
Scotland,,2017,0.238491751,0.945158748,0.471235871,4.735729553,1.916411952,4.161066674,3.327026542
Cuba,CUB,2017,0.204500994,0.943329309,0.263159253,4.62359397,0.777999682,3.319130914,1.734783347
Western Europe,,2017,0.260960353,0.94246951,0.575872586,5.705456213,1.134883656,3.9244037,1.363893229
Puerto Rico,PRI,2017,0.212346567,0.942407961,0.412628264,4.683653853,0.906124677,2.726108065,1.684373328
Austria,AUT,2017,0.256957852,0.939794174,0.675111962,5.341275395,0.902116974,3.260969994,1.824065094
Wales,,2017,0.251599632,0.939462568,0.499407255,4.776626622,1.563403973,4.069288949,1.676438183
Cyprus,CYP,2017,0.252271954,0.937285429,0.506721279,5.304908404,0.58020757,3.32811079,1.110354263
United States Virgin Islands,VIR,2017,0.216788936,0.934872323,0.473119415,4.718337738,0.814065071,2.925181974,2.23257551
Luxembourg,LUX,2017,0.263622241,0.93468081,0.737916536,5.316516035,0.933752573,3.617718678,1.353234418
Latin America and Caribbean,,2017,0.205103311,0.930317427,0.287485677,4.4386355,0.884335287,2.946384214,2.097730887
Jamaica,JAM,2017,0.199270487,0.9276051,0.259650414,4.577527559,0.947370998,2.592384553,1.427645925
Portugal,PRT,2017,0.249372353,0.925814507,0.513078805,5.383260632,0.709413012,4.421460547,1.262904529
Antigua and Barbuda,ATG,2017,0.206408819,0.925268968,0.350367844,4.604823443,0.786238855,2.557963052,2.159736421
Israel,ISR,2017,0.259139331,0.924802467,0.461175311,3.063078073,0.718220106,3.832220709,0.498381095
Barbados,BRB,2017,0.229385587,0.919956255,0.320598998,4.663044089,0.842954554,2.763322204,1.577640443
Saint Lucia,LCA,2017,0.199945008,0.904806335,0.286340742,4.593078109,0.889612331,2.839268377,1.909311301
Trinidad and Tobago,TTO,2017,0.177600289,0.898339347,0.389695653,4.629351424,0.731198525,3.329938107,1.71814092
Grenada,GRD,2017,0.199821964,0.893647257,0.288173878,4.530095404,0.774008287,2.770065625,1.745439484
Dominican Republic,DOM,2017,0.19946174,0.891063094,0.303058121,4.55830899,0.680032681,2.978522526,1.576405452
Peru,PER,2017,0.20329301,0.89070907,0.369215969,4.259925286,0.57855597,2.276321002,1.429938984
Bahamas,BHS,2017,0.203668036,0.889431839,0.362750252,4.655024159,0.816651977,2.626633055,2.108371111
Dominica,DMA,2017,0.199904066,0.888732141,0.277126535,4.544903735,0.895649976,2.629648736,2.100689063
Caribbean,,2017,0.193846543,0.884517245,0.259210421,4.563040976,0.73303612,3.065058966,1.662186537
Ecuador,ECU,2017,0.20291159,0.882945346,0.363732808,4.305357159,0.668945807,2.977117258,1.706748127
Andean Latin America,,2017,0.201470998,0.881737452,0.355474694,4.267738084,0.661481438,2.610385117,1.533572802
Belize,BLZ,2017,0.194921776,0.881646523,0.258710442,4.568547732,0.836791599,2.838666808,1.784012674
Saint Vincent and the Grenadines,VCT,2017,0.196204451,0.880439503,0.274837149,4.524136955,0.793924443,2.859089397,2.240253931
Suriname,SUR,2017,0.186999332,0.869734899,0.307738346,4.568070363,0.701883263,3.973583225,1.761269508
Kuwait,KWT,2017,0.214850668,0.865133723,0.346579533,4.967279349,1.59454276,3.635678621,0.677424512
Norway,NOR,2017,0.21148384,0.856901351,0.570362636,7.58550276,0.832286146,3.77191037,1.419002531
Bolivia,BOL,2017,0.193935504,0.854218134,0.305250563,4.243625161,0.886176711,3.085904793,1.601922707
Turkey,TUR,2017,0.221252416,0.84877028,0.308941191,3.913400441,1.535723369,3.718657828,0.778078613
Guyana,GUY,2017,0.186468101,0.84608849,0.237636119,4.547027007,0.732391495,4.141723621,2.064557448
Costa Rica,CRI,2017,0.213890053,0.843752675,0.289341842,2.936829335,0.778956239,2.904787533,1.472594365
Tunisia,TUN,2017,0.198098809,0.838770903,0.200171737,5.07236144,1.703850216,3.915188518,0.651949617
Bahrain,BHR,2017,0.206968624,0.836822159,0.273714302,4.67330436,1.695673821,3.879105153,0.723557569
Palestine,PSE,2017,0.188284615,0.824967604,0.143882739,4.985536173,1.522458359,4.665073696,0.648969585
Qatar,QAT,2017,0.21513953,0.819900233,0.318165203,4.336059258,2.024984391,3.482327199,0.731734267
Mexico,MEX,2017,0.211765456,0.818921348,0.316975449,3.186326412,0.820863258,2.78880657,1.729604254
Algeria,DZA,2017,0.19791314,0.818687153,0.213612216,5.065875684,1.717218255,3.661094496,0.665190886
Saudi Arabia,SAU,2017,0.205707391,0.817432533,0.289615223,4.754236342,1.710317999,3.536846728,0.679910541
Iran,IRN,2017,0.201307455,0.815760126,0.231894488,6.900899934,1.971660287,5.116344629,0.579777575
Panama,PAN,2017,0.213259243,0.812157759,0.316650159,2.89177947,0.727573217,2.679025335,1.409488824
Jordan,JOR,2017,0.193885619,0.811332176,0.188925296,4.888350296,1.620545053,3.563602291,0.657091729
Syria,SYR,2017,0.188965549,0.809810676,0.159348884,4.974984991,1.510988522,3.582072799,0.621551394
United Arab Emirates,ARE,2017,0.210717734,0.806413082,0.262206646,4.263912049,2.915549141,2.877426127,0.755908323
Ireland,IRL,2017,0.328007667,0.805431962,0.559994695,5.839092485,1.053862484,4.250920997,2.109847905
Libya,LBY,2017,0.192848518,0.803736718,0.195726049,4.97646043,2.607753197,3.804791052,0.680013754
Haiti,HTI,2017,0.172298258,0.801382123,0.160789636,4.518425341,0.643969528,2.957782093,1.649576749
Nicaragua,NIC,2017,0.199562758,0.79928037,0.205876035,2.912300031,0.599888594,2.854083914,2.047304594
Central Latin America,,2017,0.207671039,0.795330518,0.28631454,2.960429846,0.822284355,2.697778877,1.762195397
High-income,,2017,0.287819865,0.791746808,0.528244382,5.677996141,1.893491473,4.11648589,1.57527863
North Africa and Middle East,,2017,0.19571956,0.791332534,0.214377461,4.943837638,1.712406358,3.965409581,0.659220945
Chile,CHL,2017,0.201430397,0.790591417,0.416122857,6.272084313,1.257150396,4.057723142,2.449470218
Oman,OMN,2017,0.202474315,0.787468172,0.254958105,4.519612245,1.734114025,3.433950596,0.691762726
Morocco,MAR,2017,0.186616021,0.781827348,0.175569111,4.986825553,1.636353275,5.413573185,0.574866182
Uruguay,URY,2017,0.198965428,0.781817206,0.405501535,6.317737652,0.918533109,3.617573732,1.193834927
Venezuela,VEN,2017,0.205536618,0.779803187,0.282690417,2.866789313,0.645769753,2.814583858,1.370215832
Southern Latin America,,2017,0.199042127,0.778532347,0.407335548,6.281626598,1.069045186,3.772205996,1.967898494
Germany,DEU,2017,0.252269314,0.776761886,0.522066337,6.540495803,0.88382705,3.959866092,1.806474683
Egypt,EGY,2017,0.188117075,0.77582626,0.192942038,4.361022807,1.474476438,3.238181852,0.664616144
Argentina,ARG,2017,0.198093692,0.773376024,0.404033163,6.283677861,1.00890084,3.665488272,1.824514659
El Salvador,SLV,2017,0.197831003,0.770584701,0.243873188,2.945220376,0.61885954,3.025887217,2.655430237
Colombia,COL,2017,0.207210793,0.768913491,0.260257217,2.514802773,1.075525939,2.196154116,1.758512404
Honduras,HND,2017,0.189815206,0.752072349,0.203338878,2.875551355,0.705705457,2.752301125,1.768606637
Romania,ROU,2017,0.201194504,0.751815255,0.200699608,3.227185705,0.458055547,2.359173586,1.690182797
High SDI,,2017,0.294427264,0.749470873,0.492631695,5.313507611,1.84288628,3.942007104,1.586339839
Sudan,SDN,2017,0.176166978,0.74753625,0.147024605,4.899048237,1.408446273,3.781450646,0.645813295
Guatemala,GTM,2017,0.193343638,0.743331658,0.232110381,2.906946651,0.678176248,3.216025169,2.642026432
Yemen,YEM,2017,0.171690747,0.735682274,0.13262313,4.857207442,1.414725297,4.012346416,0.634412813
Singapore,SGP,2017,0.274089874,0.730592157,0.553711598,3.730467149,0.914669467,3.438271073,0.491369093
Slovenia,SVN,2017,0.21182374,0.725343307,0.239635828,3.449772721,0.906051721,2.863277664,2.246826943
Czech Republic,CZE,2017,0.209989062,0.721569535,0.242372761,3.443600991,0.978265047,2.675387466,2.097172456
Croatia,HRV,2017,0.207565418,0.720555576,0.217975136,3.447605933,0.713971201,2.779841732,2.080532342
Bosnia and Herzegovina,BIH,2017,0.200702951,0.718189698,0.172474446,3.402636085,0.433415503,2.319609956,2.828633321
